Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BATT_HLDR_LNX,1,CR2032,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm_Clear_Sideways_Hack,20,LED,
J1,USB_A_PCB_Edge_receptacle,1,USB_A,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R3, R4, R5, R6, R7, R8, R9",0603,20,330Ω,
"TP1, TP2, TP3, TP4, TP5, TP6",Mosaic Copper Cube,6,Mosaic Cube,
